"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2022","296.50","291.60","297.70","287.00","94.02K","1.68%"
"Jan 25, 2022","291.60","292.30","294.50","283.50","100.01K","-0.24%"
"Jan 24, 2022","292.30","302.60","302.60","260.00","213.58K","-3.40%"
"Jan 23, 2022","302.60","291.90","303.20","284.20","120.85K","3.67%"
"Jan 22, 2022","291.90","314.90","318.40","266.30","210.57K","-7.30%"
"Jan 21, 2022","314.90","357.90","359.90","308.30","135.77K","-12.01%"
"Jan 20, 2022","357.90","368.90","384.00","356.30","48.65K","-2.98%"
"Jan 19, 2022","368.90","381.40","384.30","365.90","54.36K","-3.28%"
"Jan 18, 2022","381.40","380.70","397.90","374.80","80.60K","0.18%"
"Jan 17, 2022","380.70","388.10","389.20","373.10","35.41K","-1.91%"
"Jan 16, 2022","388.10","390.90","393.30","382.40","23.27K","-0.72%"
"Jan 15, 2022","390.90","385.60","392.90","383.40","26.58K","1.37%"
"Jan 14, 2022","385.60","376.80","393.40","375.90","49.75K","2.34%"
"Jan 13, 2022","376.80","383.80","391.50","376.50","50.44K","-1.82%"
"Jan 12, 2022","383.80","369.70","385.50","368.00","53.14K","3.81%"
"Jan 11, 2022","369.70","363.60","374.80","361.90","62.63K","1.68%"
"Jan 10, 2022","363.60","376.80","378.30","348.70","99.91K","-3.50%"
"Jan 09, 2022","376.80","372.70","381.00","368.30","52.46K","1.10%"
"Jan 08, 2022","372.70","385.30","391.40","363.00","78.71K","-3.27%"
"Jan 07, 2022","385.30","399.80","401.50","375.40","107.94K","-3.70%"
"Jan 06, 2022","400.10","399.00","402.30","387.80","82.51K","0.28%"
"Jan 05, 2022","399.00","427.20","432.10","391.10","67.57K","-6.60%"
"Jan 04, 2022","427.20","434.70","439.10","425.90","39.45K","-1.68%"
"Jan 03, 2022","434.50","447.70","447.70","431.10","30.83K","-2.95%"
"Jan 02, 2022","447.70","444.90","451.90","442.90","47.79K","0.63%"
"Jan 01, 2022","444.90","430.40","445.80","430.40","38.97K","3.37%"
"Dec 31, 2021","430.40","431.70","437.10","419.60","65.74K","-0.30%"
"Dec 30, 2021","431.70","429.70","437.10","424.30","38.44K","0.47%"
"Dec 29, 2021","429.70","438.70","445.50","427.60","49.44K","-2.01%"
"Dec 28, 2021","438.50","465.10","465.50","438.40","68.36K","-5.72%"
"Dec 27, 2021","465.10","451.60","475.60","447.70","73.42K","2.99%"
"Dec 26, 2021","451.60","455.10","455.10","444.50","35.93K","-0.77%"
"Dec 25, 2021","455.10","451.30","460.50","447.70","32.03K","0.84%"
"Dec 24, 2021","451.30","455.40","461.00","449.00","47.06K","-0.90%"
"Dec 23, 2021","455.40","438.00","458.10","434.50","50.59K","3.97%"
"Dec 22, 2021","438.00","437.70","446.90","434.90","41.52K","0.07%"
"Dec 21, 2021","437.70","430.20","440.50","426.80","46.36K","1.74%"
"Dec 20, 2021","430.20","432.90","439.80","419.10","61.84K","-0.62%"
"Dec 19, 2021","432.90","435.70","445.20","432.30","45.05K","-0.64%"
"Dec 18, 2021","435.70","424.80","438.90","419.30","43.42K","2.57%"
"Dec 17, 2021","424.80","438.30","441.30","418.00","60.25K","-3.08%"
"Dec 16, 2021","438.30","447.60","453.50","437.30","51.30K","-2.17%"
"Dec 15, 2021","448.00","436.70","449.80","416.90","93.65K","2.52%"
"Dec 14, 2021","437.00","421.80","441.70","418.70","94.47K","3.68%"
"Dec 13, 2021","421.50","458.00","460.20","414.80","99.44K","-8.01%"
